poder (imperfecto)	yo podía<br>tú podías<br>él, ella, Ud. podía<br>nosotros podíamos<br>vosotros podíais<br>ellos, ellas, Uds. podían<br>vos podías	imperfecto
poder (pretérito)	yo pude<br>tú pudiste<br>él, ella, Ud. pudo<br>nosotros pudimos<br>vosotros pudisteis<br>ellos, ellas, Uds. pudieron<br>vos pudiste	pretérito
poder (futuro)	yo podré<br>tú podrás<br>él, ella, Ud. podrá<br>nosotros podremos<br>vosotros podréis<br>ellos, ellas, Uds. podrán<br>vos podrás	futuro
poder (condicional)	yo podría<br>tú podrías<br>él, ella, Ud. podría<br>nosotros podríamos<br>vosotros podríais<br>ellos, ellas, Uds. podrían<br>vos podrías	condicional
poder (pretérito anterior)	yo hube podido<br>tú hubiste podido<br>él, ella, Ud. hubo podido<br>nosotros hubimos podido<br>vosotros hubisteis podido<br>ellos, ellas, Uds. hubieron podido<br>vos hubiste podido	pretérito anterior
poder (pretérito perfecto)	yo he podido<br>tú has podido<br>él, ella, Ud. ha podido<br>nosotros hemos podido<br>vosotros habéis podido<br>ellos, ellas, Uds. han podido<br>vos has podido	pretérito perfecto
poder (pluscuamperfecto)	yo había podido<br>tú habías podido<br>él, ella, Ud. había podido<br>nosotros habíamos podido<br>vosotros habíais podido<br>ellos, ellas, Uds. habían podido<br>vos habías podido	pluscuamperfecto
poder (futuro perfecto)	yo habré podido<br>tú habrás podido<br>él, ella, Ud. habrá podido<br>nosotros habremos podido<br>vosotros habréis podido<br>ellos, ellas, Uds. habrán podido<br>vos habrás podido	futuro perfecto
poder (condicional perfecto)	yo habría podido<br>tú habrías podido<br>él, ella, Ud. habría podido<br>nosotros habríamos podido<br>vosotros habríais podido<br>ellos, ellas, Uds. habrían podido<br>vos habrías podido	condicional perfecto
poder (subjuntivo presente)	yo pueda<br>tú puedas<br>él, ella, Ud. pueda<br>nosotros podamos<br>vosotros podáis<br>ellos, ellas, Uds. puedan<br>vos puedas, *podás	subjuntivo presente
poder (subjuntivo imperfecto)	yo pudiera o pudiese<br>tú pudieras o pudieses<br>él, ella, Ud. pudiera o pudiese<br>nosotros pudiéramos o pudiésemos<br>vosotros pudierais o pudieseis<br>ellos, ellas, Uds. pudieran o pudiesen<br>vos pudieras o pudieses	subjuntivo imperfecto
poder (subjuntivo futuro)	yo pudiere<br>tú pudieres<br>él, ella, Ud. pudiere<br>nosotros pudiéremos<br>vosotros pudiereis<br>ellos, ellas, Uds. pudieren<br>vos pudieres	subjuntivo futuro
poder (subjuntivo pretérito perfecto)	yo haya podido<br>tú hayas podido<br>él, ella, Ud. haya podido<br>nosotros hayamos podido<br>vosotros hayáis podido<br>ellos, ellas, Uds. hayan podido<br>vos hayas podido	subjuntivo pretérito perfecto
poder (subjuntivo pluscuamperfecto)	yo hubiera o hubiese podido<br>tú hubieras o hubieses podido<br>él, ella, Ud. hubiera o hubiese podido<br>nosotros hubiéramos o hubiésemos podido<br>vosotros hubierais o hubieseis podido<br>ellos, ellas, Uds. hubieran o hubiesen podido<br>vos hubieras o hubieses podido	subjuntivo pluscuamperfecto
poder (subjuntivo futuro perfecto)	yo hubiere podido<br>tú hubieres podido<br>él, ella, Ud. hubiere podido<br>nosotros hubiéremos podido<br>vosotros hubiereis podido<br>ellos, ellas, Uds. hubieren podido<br>vos hubieres podido	subjuntivo futuro perfecto
poder (imperativo afirmativo)	yo –<br>tú ¡puede!<br>él, ella, Ud. ¡pueda!<br>nosotros ¡podamos!<br>vosotros ¡poded!<br>ellos, ellas, Uds. ¡puedan!<br>vos ¡podé!	imperativo afirmativo
poder (imperativo negativo)	yo –<br>tú ¡no puedas!<br>él, ella, Ud. ¡no pueda!<br>nosotros ¡no podamos!<br>vosotros ¡no podáis!<br>ellos, ellas, Uds. ¡no puedan!<br>vos ¡no puedas, *podás!	imperativo negativo
decir (presente)	yo digo<br>tú dices<br>él, ella, Ud. dice<br>nosotros decimos<br>vosotros decís<br>ellos, ellas, Uds. dicen<br>vos decís	presente
decir (imperfecto)	yo decía<br>tú decías<br>él, ella, Ud. decía<br>nosotros decíamos<br>vosotros decíais<br>ellos, ellas, Uds. decían<br>vos decías	imperfecto
decir (pretérito)	yo dije<br>tú dijiste<br>él, ella, Ud. dijo<br>nosotros dijimos<br>vosotros dijisteis<br>ellos, ellas, Uds. dijeron<br>vos dijiste	pretérito
decir (futuro)	yo diré<br>tú dirás<br>él, ella, Ud. dirá<br>nosotros diremos<br>vosotros diréis<br>ellos, ellas, Uds. dirán<br>vos dirás	futuro
decir (condicional)	yo diría<br>tú dirías<br>él, ella, Ud. diría<br>nosotros diríamos<br>vosotros diríais<br>ellos, ellas, Uds. dirían<br>vos dirías	condicional
decir (pretérito anterior)	yo hube dicho<br>tú hubiste dicho<br>él, ella, Ud. hubo dicho<br>nosotros hubimos dicho<br>vosotros hubisteis dicho<br>ellos, ellas, Uds. hubieron dicho<br>vos hubiste dicho	pretérito anterior
decir (pretérito perfecto)	yo he dicho<br>tú has dicho<br>él, ella, Ud. ha dicho<br>nosotros hemos dicho<br>vosotros habéis dicho<br>ellos, ellas, Uds. han dicho<br>vos has dicho	pretérito perfecto
decir (pluscuamperfecto)	yo había dicho<br>tú habías dicho<br>él, ella, Ud. había dicho<br>nosotros habíamos dicho<br>vosotros habíais dicho<br>ellos, ellas, Uds. habían dicho<br>vos habías dicho	pluscuamperfecto
decir (futuro perfecto)	yo habré dicho<br>tú habrás dicho<br>él, ella, Ud. habrá dicho<br>nosotros habremos dicho<br>vosotros habréis dicho<br>ellos, ellas, Uds. habrán dicho<br>vos habrás dicho	futuro perfecto
decir (condicional perfecto)	yo habría dicho<br>tú habrías dicho<br>él, ella, Ud. habría dicho<br>nosotros habríamos dicho<br>vosotros habríais dicho<br>ellos, ellas, Uds. habrían dicho<br>vos habrías dicho	condicional perfecto
decir (subjuntivo presente)	yo diga<br>tú digas<br>él, ella, Ud. diga<br>nosotros digamos<br>vosotros digáis<br>ellos, ellas, Uds. digan<br>vos digas, *digás	subjuntivo presente
decir (subjuntivo imperfecto)	yo dijera o dijese<br>tú dijeras o dijeses<br>él, ella, Ud. dijera o dijese<br>nosotros dijéramos o dijésemos<br>vosotros dijerais o dijeseis<br>ellos, ellas, Uds. dijeran o dijesen<br>vos dijeras o dijeses	subjuntivo imperfecto
decir (subjuntivo futuro)	yo dijere<br>tú dijeres<br>él, ella, Ud. dijere<br>nosotros dijéremos<br>vosotros dijereis<br>ellos, ellas, Uds. dijeren<br>vos dijeres	subjuntivo futuro
decir (subjuntivo pretérito perfecto)	yo haya dicho<br>tú hayas dicho<br>él, ella, Ud. haya dicho<br>nosotros hayamos dicho<br>vosotros hayáis dicho<br>ellos, ellas, Uds. hayan dicho<br>vos hayas dicho	subjuntivo pretérito perfecto
decir (subjuntivo pluscuamperfecto)	yo hubiera o hubiese dicho<br>tú hubieras o hubieses dicho<br>él, ella, Ud. hubiera o hubiese dicho<br>nosotros hubiéramos o hubiésemos dicho<br>vosotros hubierais o hubieseis dicho<br>ellos, ellas, Uds. hubieran o hubiesen dicho<br>vos hubieras o hubieses dicho	subjuntivo pluscuamperfecto
decir (subjuntivo futuro perfecto)	yo hubiere dicho<br>tú hubieres dicho<br>él, ella, Ud. hubiere dicho<br>nosotros hubiéremos dicho<br>vosotros hubiereis dicho<br>ellos, ellas, Uds. hubieren dicho<br>vos hubieres dicho	subjuntivo futuro perfecto
